Name,Sector,URL,URL2
Egyptian Arabian Co. for Securities Brokerage (EASB),Securities,https://www.marketwatch.com/investing/Stock/EASB?countryCode=EG,https://www.marketwatch.com/investing/stock/easb/download-data?countrycode=eg&mod=mw_quote_tab
Egyptian Chemical Industries (EGCH),Chemicals,https://www.marketwatch.com/investing/Stock/EGCH?countryCode=EG,https://www.marketwatch.com/investing/stock/egch/download-data?countrycode=eg&mod=mw_quote_tab
Egyptian Financial & Industrial Co. (EFIC),Chemicals,https://www.marketwatch.com/investing/Stock/EFIC?countryCode=EG,https://www.marketwatch.com/investing/stock/efic/download-data?countrycode=eg&mod=mw_quote_tab
Egyptian Financial Group-Hermes Holding Co. (HRHO),Investment Advisors,https://www.marketwatch.com/investing/Stock/HRHO?countryCode=EG,https://www.marketwatch.com/investing/stock/hrho/download-data?countrycode=eg&mod=mw_quote_tab
Egyptian for Developing Building Materials (EDBM),Building Materials/Products,https://www.marketwatch.com/investing/Stock/EDBM?countryCode=EG,https://www.marketwatch.com/investing/stock/edbm/download-data?countrycode=eg&mod=mw_quote_tab
Egyptian for Tourism Resorts (EGTS),Hotels,https://www.marketwatch.com/investing/Stock/EGTS?countryCode=EG,https://www.marketwatch.com/investing/stock/egts/download-data?countrycode=eg&mod=mw_quote_tab
Egyptian Gulf Bank (EGBE),Banking,https://www.marketwatch.com/investing/Stock/EGBE?countryCode=EG,https://www.marketwatch.com/investing/stock/egbe/download-data?countrycode=eg&mod=mw_quote_tab
Egyptian International Pharmaceutical Industrial Co. (PHAR),Pharmaceuticals,https://www.marketwatch.com/investing/Stock/PHAR?countryCode=EG,https://www.marketwatch.com/investing/stock/phar/download-data?countrycode=eg&mod=mw_quote_tab
Egyptian Iron & Steel Co. (IRON),Iron/Steel,https://www.marketwatch.com/investing/Stock/IRON?countryCode=EG,https://www.marketwatch.com/investing/stock/iron/download-data?countrycode=eg&mod=mw_quote_tab
Egyptian Media Production City Co. (MPRC),Motion Picture/Sound Recording,https://www.marketwatch.com/investing/Stock/MPRC?countryCode=EG,https://www.marketwatch.com/investing/stock/mprc/download-data?countrycode=eg&mod=mw_quote_tab
Egyptian Modern Education Systems (MOED),Consumer Services,https://www.marketwatch.com/investing/Stock/MOED?countryCode=EG,https://www.marketwatch.com/investing/stock/moed/download-data?countrycode=eg&mod=mw_quote_tab
Egyptian Real Estate Group (AREH),Real Estate Developers,https://www.marketwatch.com/investing/Stock/AREH?countryCode=EG,https://www.marketwatch.com/investing/stock/areh/download-data?countrycode=eg&mod=mw_quote_tab
Egyptian Satellite Co. (EGSA),Broadcasting,https://www.marketwatch.com/investing/Stock/EGSA?countryCode=EG,https://www.marketwatch.com/investing/stock/egsa/download-data?countrycode=eg&mod=mw_quote_tab
Egyptian Transport & Commercial Services Co. SAE (ETRS),Transportation Services,https://www.marketwatch.com/investing/Stock/ETRS?countryCode=EG,https://www.marketwatch.com/investing/stock/etrs/download-data?countrycode=eg&mod=mw_quote_tab
Egyptians for Investment & Urban Development (EIUD),Real Estate Developers,https://www.marketwatch.com/investing/Stock/EIUD?countryCode=EG,https://www.marketwatch.com/investing/stock/eiud/download-data?countrycode=eg&mod=mw_quote_tab
Egyptians Housing Development & Reconstruction (EHDR),Real Estate Developers,https://www.marketwatch.com/investing/Stock/EHDR?countryCode=EG,https://www.marketwatch.com/investing/stock/ehdr/download-data?countrycode=eg&mod=mw_quote_tab
El Ahli Investment & Development (AFDI),Investment Advisors,https://www.marketwatch.com/investing/Stock/AFDI?countryCode=EG,https://www.marketwatch.com/investing/stock/afdi/download-data?countrycode=eg&mod=mw_quote_tab
El Ahram Co. for Printing & Packing (EPPK),Consumer Services,https://www.marketwatch.com/investing/Stock/EPPK?countryCode=EG,https://www.marketwatch.com/investing/stock/eppk/download-data?countrycode=eg&mod=mw_quote_tab
El Arabia Engineering Industries (EEII),Industrial Products,https://www.marketwatch.com/investing/Stock/EEII?countryCode=EG,https://www.marketwatch.com/investing/stock/eeii/download-data?countrycode=eg&mod=mw_quote_tab
El Arabia for Land Reclamation (EALR),Construction,https://www.marketwatch.com/investing/Stock/EALR?countryCode=EG,https://www.marketwatch.com/investing/stock/ealr/download-data?countrycode=eg&mod=mw_quote_tab
El Ezz Dekheila Steel-Alexandria SAE (IRAX),Iron/Steel,https://www.marketwatch.com/investing/Stock/IRAX?countryCode=EG,https://www.marketwatch.com/investing/stock/irax/download-data?countrycode=eg&mod=mw_quote_tab
El Ezz Porcelain & Ceramic (Gemma) (ECAP),Building Materials/Products,https://www.marketwatch.com/investing/Stock/ECAP?countryCode=EG,https://www.marketwatch.com/investing/stock/ecap/download-data?countrycode=eg&mod=mw_quote_tab
El Kahera El Watania Investment (KWIN),Finance Companies,https://www.marketwatch.com/investing/Stock/KWIN?countryCode=EG,https://www.marketwatch.com/investing/stock/kwin/download-data?countrycode=eg&mod=mw_quote_tab
El Kahera Housing (ELKA),Real Estate Developers,https://www.marketwatch.com/investing/Stock/ELKA?countryCode=EG,https://www.marketwatch.com/investing/stock/elka/download-data?countrycode=eg&mod=mw_quote_tab
El Nasr Clothes & Textiles (Kabo) (KABO),Clothing,https://www.marketwatch.com/investing/Stock/KABO?countryCode=EG,https://www.marketwatch.com/investing/stock/kabo/download-data?countrycode=eg&mod=mw_quote_tab
El Nasr Co. for Civil Works (NCCW),Construction,https://www.marketwatch.com/investing/Stock/NCCW?countryCode=EG,https://www.marketwatch.com/investing/stock/nccw/download-data?countrycode=eg&mod=mw_quote_tab
El Nasr for Manufacturing Agricultural Crops (ELNA),Farming,https://www.marketwatch.com/investing/Stock/ELNA?countryCode=EG,https://www.marketwatch.com/investing/stock/elna/download-data?countrycode=eg&mod=mw_quote_tab
El Obour Real Estate Investment (OBRI),Real Estate Developers,https://www.marketwatch.com/investing/Stock/OBRI?countryCode=EG,https://www.marketwatch.com/investing/stock/obri/download-data?countrycode=eg&mod=mw_quote_tab
El Orouba Securities Brokerage (EOSB),Securities,https://www.marketwatch.com/investing/Stock/EOSB?countryCode=EG,https://www.marketwatch.com/investing/stock/eosb/download-data?countrycode=eg&mod=mw_quote_tab
El Saeed Contracting & Real Estate Co. (UEGC),Construction,https://www.marketwatch.com/investing/Stock/UEGC?countryCode=EG,https://www.marketwatch.com/investing/stock/uegc/download-data?countrycode=eg&mod=mw_quote_tab
El Shams Housing & Urbanization S.A.E. (ELSH),Real Estate Developers,https://www.marketwatch.com/investing/Stock/ELSH?countryCode=EG,https://www.marketwatch.com/investing/stock/elsh/download-data?countrycode=eg&mod=mw_quote_tab
El Wadi for International & Investment Development (ELWA),Tourism,https://www.marketwatch.com/investing/Stock/ELWA?countryCode=EG,https://www.marketwatch.com/investing/stock/elwa/download-data?countrycode=eg&mod=mw_quote_tab
Electro Cable Egypt Co. (ELEC),Industrial Electronics,https://www.marketwatch.com/investing/Stock/ELEC?countryCode=EG,https://www.marketwatch.com/investing/stock/elec/download-data?countrycode=eg&mod=mw_quote_tab
Elsewedy Electric (SWDY),Industrial Electronics,https://www.marketwatch.com/investing/Stock/SWDY?countryCode=EG,https://www.marketwatch.com/investing/stock/swdy/download-data?countrycode=eg&mod=mw_quote_tab
Emaar Misr for Development SAE (EMFD),Real Estate Developers,https://www.marketwatch.com/investing/Stock/EMFD?countryCode=EG,https://www.marketwatch.com/investing/stock/emfd/download-data?countrycode=eg&mod=mw_quote_tab
Export Development Bank of Egypt (EXPA),Finance Companies,https://www.marketwatch.com/investing/Stock/EXPA?countryCode=EG,https://www.marketwatch.com/investing/stock/expa/download-data?countrycode=eg&mod=mw_quote_tab
Extracted Oils & Derivatives Co. (ZEOT),Food Products,https://www.marketwatch.com/investing/Stock/ZEOT?countryCode=EG,https://www.marketwatch.com/investing/stock/zeot/download-data?countrycode=eg&mod=mw_quote_tab
Ezz Steel Co. S.A.E. (ESRS),Iron/Steel,https://www.marketwatch.com/investing/Stock/ESRS?countryCode=EG,https://www.marketwatch.com/investing/stock/esrs/download-data?countrycode=eg&mod=mw_quote_tab
Faisal Islamic Bank of Egypt (FAIT),Banking,https://www.marketwatch.com/investing/Stock/FAIT?countryCode=EG,https://www.marketwatch.com/investing/stock/fait/download-data?countrycode=eg&mod=mw_quote_tab
